Name,Position,Country,DOB,Team
Ian Wilkinson,Goalkeeper,England,"Jul 2, 1973",First Team/Reserves Team
Kieran Toal,Midfielder,Ireland,"Dec 14, 1971",First Team/Reserves Team
Andy Arnott,Defensive Midfield,England,"Oct 18, 1973",First Team
Graeme Tomlinson,Centre-Forward,England,"Dec 10, 1975",First Team
Jody Banim,Central Midfield,England,"Apr 1, 1978",First Team/Youth Teams
Robert Trees,Right Midfield,England,"Dec 18, 1977",First Team/Youth Teams
Stuart Brightwell,Right Midfield,England,"Jan 31, 1979",First Team/Youth Teams
Andrew Taylor,Midfielder,England,"Sep 17, 1982",First Team
Kalam Mooniaruck,Striker,England,"Nov 22, 1983",First Team
Danny Byrne,Defender,Ireland,"Nov 30, 1984",First Team/Youth Teams
Michael Barnes,Left Midfield,England,"Jun 24, 1988",First Team
Scott Moffatt,Right-Back,England,"Dec 7, 1990",First Team/Reserves Team/Youth Teams
Arthur Rowley,Second Striker,England,"Apr 21, 1926",Reserves Team/Youth Teams
Eric Bell,Central Midfield,England,"Nov 27, 1929",Reserves Team/Youth Teams
Bryce Fulton,Left-Back,Scotland,"Aug 7, 1935",Reserves Team/Youth Teams
Dennis Fidler,Left Winger,England,"Jun 22, 1938",Reserves Team/Youth Teams
Hugh Curran,Centre-Forward,Scotland,"Sep 25, 1943",Youth Teams
Bobby Smith,Centre-Forward,England,"Mar 14, 1944",Reserves Team/Youth Teams
Albert Kinsey,Centre-Forward,England,"Sep 16, 1945",Reserves Team/Youth Teams
Terry Poole,Goalkeeper,England,"Dec 16, 1949",Reserves Team/Youth Teams
Peter O'Sullivan,Left Winger,Wales,"Mar 4, 1951",First Team/Reserves Team/Youth Teams
Tony Whelan,Centre-Forward,England,"Nov 20, 1952",Reserves Team/Youth Teams
Kevin Lewis,Centre-Back,England,"Sep 25, 1952",Reserves Team/Youth Teams
Ray Mountford,Goalkeeper,England,"Apr 28, 1958",Reserves Team/Youth Teams
Paul Bowles,Centre-Back,England,"May 31, 1957",Youth Teams
Danny Keough,Defensive Midfield,England,"Jan 31, 1963",Reserves Team/Youth Teams
Martin Lane,Left-Back,England,"Apr 12, 1961",Reserves Team/Youth Teams
Shaun Lowther,Right-Back,Canada,"Jan 24, 1962",Youth Teams
Phil Hughes,Goalkeeper,Northern Ireland,"Nov 19, 1964",Youth Teams
Paul McGuinness,Midfielder,England,"Mar 2, 1966",Reserves Team/Youth Teams
Pat Kelch,Left-Back,Ireland,"May 5, 1966",Youth Teams
Derek Murray,Midfielder,Ireland,"Nov 29, 1965",Youth Teams
Aidan Murphy,Central Midfield,England,"Sep 17, 1967",Reserves Team/Youth Teams
Sean McAuley,Defender,England,"Jun 23, 1972",Reserves Team/Youth Teams
Darren Whitmarsh,Goalkeeper,Ireland,-,Youth Teams
Paul Teather,Midfielder,England,"Dec 26, 1977",First Team/Reserves Team/Youth Teams
David Brown,Striker,England,"Oct 2, 1978",Reserves Team/Youth Teams
Ashley Dodd,Central Midfield,England,"Jan 7, 1982",Reserves Team/Youth Teams
Kalam Mooniaruk,Right Midfield,Mauritius,"Nov 22, 1983",Reserves Team/Youth Teams
Massude Daúde,Central Midfield,Mozambique,"Mar 7, 1991",Youth Teams
Bradley Robinson,Attacking Midfield,England,"May 24, 1993",Youth Teams
Nick Meace,Centre-Back,England,"Sep 10, 1990",Youth Teams
Alan Smith,Left Winger,England,"Jan 2, 1988",Youth Teams
Danny Rowe,Centre-Forward,England,"Jan 29, 1989",Youth Teams
Michael Potts,Central Midfield,England,"Nov 26, 1991",Youth Teams
Antonio Bryan,Striker,England,"Oct 4, 1989",Reserves Team/Youth Teams
Izet Zahirovic,Striker,Ireland,"Oct 21, 1991",Youth Teams
Okoro Osagepamwen,Midfielder,Nigeria,"Dec 1, 1989",Youth Teams
Kenny Strickland,Right-Back,England,"Oct 10, 1990",Youth Teams
Liam Jacob,Goalkeeper,Australia,"Aug 18, 1994",Reserves Team/Youth Teams
Joseph Coll,Goalkeeper,Ireland,"Feb 2, 1994",Reserves Team/Youth Teams
Rico Gomes,Right Winger,Portugal,"Jan 13, 1993",Youth Teams
Jonathan Sutherland,Goalkeeper,England,"Sep 3, 1994",Reserves Team/Youth Teams
Matthew Wilkinson,Centre-Back,England,"Jan 13, 1995",Reserves Team/Youth Teams
Jack Rudge,Central Midfield,England,"Nov 15, 1994",Reserves Team/Youth Teams
Louis Rowley,Left-Back,England,"Apr 21, 1995",Reserves Team/Youth Teams
Rhain Davis,Central Midfield,Australia,"Oct 15, 1997",Youth Teams
Connor Tagoe,Central Midfield,England,"Mar 18, 1994",Youth Teams
Ben Barber,Left-Back,England,"Sep 8, 1995",Youth Teams
George Dorrington,Goalkeeper,England,"Jun 17, 1997",Reserves Team/Youth Teams
Joshua Doughty,Midfielder,Canada,"Apr 8, 1997",Reserves Team/Youth Teams
Ogo Obi,Centre-Forward,England,"May 7, 1998",Youth Teams
Daniel Polakowski,Goalkeeper,Poland,"Oct 25, 2003",Reserves Team/Youth Teams
Jack Mansell,Left-Back,England,"Aug 22, 1927",Reserves Team
Don Wilson,Right-Back,England,"Jun 4, 1930",Reserves Team
Eamon Dunphy,Central Midfield,Ireland,"Aug 3, 1945",First Team/Reserves Team
Vinnie McCarthy,Midfielder,Scotland,"Sep 27, 1958",Reserves Team
Geoff Hunter,Midfielder,England,"Oct 27, 1959",Reserves Team
David Jeffrey,Midfielder,Northern Ireland,"Oct 28, 1962",Reserves Team
Gary Worthington,Striker,England,"Nov 10, 1966",Reserves Team
Karl Goddard,Left-Back,England,"Dec 29, 1967",Reserves Team
Neil Mustoe,Midfielder,England,"Nov 5, 1976",Reserves Team
Ross Greenwood,Centre-Back,England,"Nov 1, 1985",Reserves Team
Rafael Leão,Left-Back,Brazil,"Apr 6, 1993",Reserves Team
Paul Woolston,Goalkeeper,England,"Aug 14, 1998",Reserves Team
Kie Plumley,Goalkeeper,England,"Sep 5, 2003",Reserves Team
Ntumba Massanka,Centre-Forward,England,"Nov 30, 1996",Youth Teams
Omar Thompson,Midfielder,United States,"Jul 16, 1995",Youth Teams
Ben Pierce,Goalkeeper,England,"Sep 28, 1998",Youth Teams
Vashiko Dixon,Right-Back,England,"Sep 4, 1998",Youth Teams
Izac Khan,Left-Back,England,"Apr 19, 2006",Youth Teams
Venâncio Monteiro,Left Winger,Portugal,"Sep 5, 1999",Youth Teams
Seppe Boonen,Central Midfield,Belgium,"Feb 4, 2001",Youth Teams
Remi Thompson,Central Midfield,England,"Jun 1, 2002",Youth Teams
Sam Allardyce,Centre-Back,England,"Sep 1, 2000",Youth Teams
George Wyatt,Centre-Back,England,"Aug 29, 2003",Youth Teams
Kieron Ceesay,Striker,England,"May 25, 2001",Youth Teams
Levent Gundogan,Centre-Forward,Wales,"Mar 16, 2003",Youth Teams
Kade Ratchford,Central Midfield,England,"Oct 26, 2003",Youth Teams
Michael Elechi,Left-Back,England,"Oct 10, 2001",Youth Teams
Hayden Smethurst,Defender,England,"Feb 16, 2002",Youth Teams
Ben Pleavin,Central Midfield,England,"Oct 11, 2002",Youth Teams
Rocco Fregapane,Centre-Back,England,"Apr 24, 2003",Youth Teams
Alfie Hughes,Left Winger,England,"Oct 6, 2002",Youth Teams
Aymen Al-Chelabi,Goalkeeper,England,-,Youth Teams
Tobi Harley,Central Midfield,England,"Oct 12, 2006",Youth Teams
George Walters,Left Winger,Wales,"Feb 5, 2004",Youth Teams
Jahmari Lindsay,Left-Back,England,"Sep 25, 2004",Youth Teams
Kamil Maciag,Centre-Forward,Poland,"Oct 9, 2004",Youth Teams
Junior Nkwonta,Right-Back,Nigeria,"Jun 4, 2003",Youth Teams
Jamie Noreci,Midfielder,Albania,"Sep 6, 2007",Youth Teams
Ethan Hull,Right Winger,England,"Jan 5, 2005",Youth Teams
Charlie Veevers,Central Midfield,England,"Feb 13, 2005",Youth Teams
Mylan Benjamin,Left Winger,Montserrat,"Sep 21, 2004",Youth Teams
Pharrell Brown,Attacking Midfield,England,"Aug 31, 2005",Youth Teams
Paige Wilding,Centre-Forward,Wales,"Jul 18, 2005",Youth Teams
Hamzat Balogun,Right-Back,England,"Jun 1, 2005",Youth Teams
Cristiano Júnior,Left Winger,Portugal,"Jun 17, 2010",Youth Teams
Toby Oliver,Central Midfield,England,"Sep 18, 2005",Youth Teams
Harry Campbell,Goalkeeper,England,"Nov 14, 2005",Youth Teams
Zach Giggs,Right-Back,Wales,"Oct 1, 2006",Youth Teams
Aidan Higgins,Attacking Midfield,Wales,"Jan 20, 2007",Youth Teams
Felix Chester,Goalkeeper,England,"Oct 23, 2006",Youth Teams
Adam Abbas,Striker,England,"Feb 24, 2007",Youth Teams
Luca Scanlon,Attacking Midfield,Gibraltar,"Jul 13, 2009",Youth Teams
Majid Balogun,Striker,England,"Mar 10, 2008",Youth Teams
Freddie Freedman,Centre-Back,England,"Oct 5, 2007",Youth Teams
Nathaniel Mapengu,Centre-Back,England,"Sep 9, 2007",Youth Teams
John Anderson,Midfielder,Northern Ireland,"Dec 1, 1944",First Team
Kelechi Kalu,Midfielder,Nigeria,"Nov 21, 1999",Youth Teams
Sam Sebagabo,Central Midfield,Netherlands,"Sep 14, 2004",Youth Teams
Oliver Bray,Centre-Forward,England,"Jun 3, 2003",Reserves Team
Ryan Ford,Midfielder,England,"Sep 3, 1978",First Team
Charlie Harrison,Goalkeeper,England,"Sep 25, 1861",First Team
